clusnum,connnum,probability,class,filename,srcip,dstip
0,330,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,71.238.15.56:0
0,331,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,139.196.155.228:0
0,332,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,73.39.37.32:0
0,344,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,24.18.204.58:0
0,349,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,71.197.148.133:0
0,365,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,88.18.51.3:0
0,368,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,73.32.75.95:0
0,375,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,71.58.18.30:0
0,376,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,185.174.157.34:0
0,377,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,73.48.43.82:0
0,380,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,69.250.202.56:0
0,381,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,66.177.165.209:0
0,400,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,76.124.61.164:0
0,402,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,183.230.135.198:0
0,403,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,183.230.135.198:1
0,405,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,67.187.192.148:0
0,406,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,66.30.22.42:0
0,407,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,68.61.115.19:0
0,411,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,73.194.126.130:0
0,412,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,73.51.98.185:0
0,424,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,2.64.72.75:0
0,425,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,212.154.58.103:0
0,431,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,5.189.177.73:0
0,443,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,73.214.122.154:0
0,461,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,73.201.14.194:0
0,462,,CTU-IoT-Malware-Capture-17-1.pcap.pkl,192.168.100.111,197.99.81.217:0
